FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
东大街锦东路（牛市口派出所旁）,九龙仓擎天半岛,http://cd.fang.lianjia.com/loupan/p_jlcqtbdaaccv/, 16000
马超东路555号,东骏湖景湾,http://cd.fang.lianjia.com/loupan/p_djhjwaabog/, 8148
益州大道北三段362号（宜家、欧尚对面）,英祥财富领域,http://cd.fang.lianjia.com/loupan/p_yxcflyaaars/, 16500
汇泉南路333号,吉宝凌云峰阁,http://cd.fang.lianjia.com/loupan/p_jblyfgaabuo/, 22500
顺江路335号（望江公园和川大旁）,阿玛尼艺术公寓,http://cd.fang.lianjia.com/loupan/p_amnysgyaaptu/, 43000
牧华路三段1789号,海伦春天,http://cd.fang.lianjia.com/loupan/p_hlctaapyl/, 12000
东升镇银河路8号（双流县图书馆旁）,隆鑫十里画卷,http://cd.fang.lianjia.com/loupan/p_lxslhjaacsm/, 8170
锦城大道与天府大道交汇处（锦江旁）,招商大魔方,http://cd.fang.lianjia.com/loupan/p_zsdmfaaptz/, 23000
三环路成彭立交桥外侧（欢乐谷旁）,华侨城原岸,http://cd.fang.lianjia.com/loupan/p_aaelf/, 9800
芙蓉大道三段华西分院对面,保利西子城,http://cd.fang.lianjia.com/loupan/p_blxzcaayks/, 6500
正府街77号（中国银行大厦背后）,SG珊顿道,http://cd.fang.lianjia.com/loupan/p_sgsddaaclh/, 13000
西梨路一段（中铁奥维尔旁）,中冶中央公园,http://cd.fang.lianjia.com/loupan/p_zyzygyaamyc/, 4800
新华大道二段（金马国际体育城旁）,金穗苑,http://cd.fang.lianjia.com/loupan/p_jsyaaunc/, 5200
二环路东三段双庆路6号,华润二十四城七期,http://cd.fang.lianjia.com/loupan/p_hresscqqaasby/, 14000
犀浦镇万福村六社,蓝光公园悦府,http://cd.fang.lianjia.com/loupan/p_lggyyfaarxn/, 9850
新成彭路大天路出口左侧（博雅新城旁）,优品道珑苑,http://cd.fang.lianjia.com/loupan/p_ypdlyaasbn/, 6800
